 [x] Sent b'[2/20/2023 8:58, 88.0]' on route-C
 [x] Sent b'[2/20/2023 5:36, 102.0]' on route-A
 [x] Sent b'[2/20/2023 5:36, 94.0]' on route-B
 [x] Sent b'[2/20/2023 5:36, 99.0]' on route-C
 [x] Sent b'[2/20/2023 5:36, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:36, 123.0]' on route-B
 [x] Sent b'[2/20/2023 5:36, 99.0]' on route-C
 [x] Sent b'[2/20/2023 5:36, 101.0]' on route-A
 [x] Sent b'[2/20/2023 5:36, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:36, 98.0]' on route-C
 [x] Sent b'[2/20/2023 5:37, 103.0]' on route-A
 [x] Sent b'[2/20/2023 5:37, 124.0]' on route-B
 [x] Sent b'[2/20/2023 5:37, 126.0]' on route-C
 [x] Sent b'[2/20/2023 5:37, 90.0]' on route-A
 [x] Sent b'[2/20/2023 5:37, 103.0]' on route-B
 [x] Sent b'[2/20/2023 5:37, 109.0]' on route-C
 [x] Sent b'[2/20/2023 5:37, 118.0]' on route-A
 [x] Sent b'[2/20/2023 5:37, 115.0]' on route-B
 [x] Sent b'[2/20/2023 5:37, 98.0]' on route-C
 [x] Sent b'[2/20/2023 5:38, 97.0]' on route-A
 [x] Sent b'[2/20/2023 5:38, 110.0]' on route-B
 [x] Sent b'[2/20/2023 5:38, 127.0]' on route-C
 [x] Sent b'[2/20/2023 5:38, 113.0]' on route-A
 [x] Sent b'[2/20/2023 5:38, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:38, 120.0]' on route-C
 [x] Sent b'[2/20/2023 5:38, 109.0]' on route-A
 [x] Sent b'[2/20/2023 5:38, 114.0]' on route-B
 [x] Sent b'[2/20/2023 5:38, 121.0]' on route-C
 [x] Sent b'[2/20/2023 5:39, 98.0]' on route-A
 [x] Sent b'[2/20/2023 5:39, 123.0]' on route-B
 [x] Sent b'[2/20/2023 5:39, 98.0]' on route-C
 [x] Sent b'[2/20/2023 5:39, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:39, 121.0]' on route-B
 [x] Sent b'[2/20/2023 5:39, 85.0]' on route-C
 [x] Sent b'[2/20/2023 5:39, 101.0]' on route-A
 [x] Sent b'[2/20/2023 5:39, 119.0]' on route-B
 [x] Sent b'[2/20/2023 5:39, 121.0]' on route-C
 [x] Sent b'[2/20/2023 5:40, 119.0]' on route-A
 [x] Sent b'[2/20/2023 5:40, 120.0]' on route-B
 [x] Sent b'[2/20/2023 5:40, 118.0]' on route-C
 [x] Sent b'[2/20/2023 5:40, 86.0]' on route-A
 [x] Sent b'[2/20/2023 5:40, 90.0]' on route-B
 [x] Sent b'[2/20/2023 5:40, 90.0]' on route-C
 [x] Sent b'[2/20/2023 5:40, 97.0]' on route-A
 [x] Sent b'[2/20/2023 5:40, 95.0]' on route-B
 [x] Sent b'[2/20/2023 5:40, 106.0]' on route-C
 [x] Sent b'[2/20/2023 5:41, 119.0]' on route-A
 [x] Sent b'[2/20/2023 5:41, 101.0]' on route-B
 [x] Sent b'[2/20/2023 5:41, 117.0]' on route-C
 [x] Sent b'[2/20/2023 5:41, 118.0]' on route-A
 [x] Sent b'[2/20/2023 5:41, 117.0]' on route-B
 [x] Sent b'[2/20/2023 5:41, 116.0]' on route-C
 [x] Sent b'[2/20/2023 5:41, 111.0]' on route-A
 [x] Sent b'[2/20/2023 5:41, 128.0]' on route-B
 [x] Sent b'[2/20/2023 5:41, 125.0]' on route-C
 [x] Sent b'[2/20/2023 5:42, 105.0]' on route-A
 [x] Sent b'[2/20/2023 5:42, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:42, 108.0]' on route-C
 [x] Sent b'[2/20/2023 5:42, 104.0]' on route-A
 [x] Sent b'[2/20/2023 5:42, 103.0]' on route-B
 [x] Sent b'[2/20/2023 5:42, 128.0]' on route-C
 [x] Sent b'[2/20/2023 5:42, 104.0]' on route-A
 [x] Sent b'[2/20/2023 5:42, 86.0]' on route-B
 [x] Sent b'[2/20/2023 5:42, 110.0]' on route-C
 [x] Sent b'[2/20/2023 5:43, 105.0]' on route-A
 [x] Sent b'[2/20/2023 5:43, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:43, 103.0]' on route-C
 [x] Sent b'[2/20/2023 5:43, 118.0]' on route-A
 [x] Sent b'[2/20/2023 5:43, 130.0]' on route-B
 [x] Sent b'[2/20/2023 5:43, 112.0]' on route-C
 [x] Sent b'[2/20/2023 5:43, 123.0]' on route-A
 [x] Sent b'[2/20/2023 5:43, 128.0]' on route-B
 [x] Sent b'[2/20/2023 5:43, 125.0]' on route-C
 [x] Sent b'[2/20/2023 5:44, 95.0]' on route-A
 [x] Sent b'[2/20/2023 5:44, 102.0]' on route-B
 [x] Sent b'[2/20/2023 5:44, 111.0]' on route-C
 [x] Sent b'[2/20/2023 5:44, 94.0]' on route-A
 [x] Sent b'[2/20/2023 5:44, 87.0]' on route-B
 [x] Sent b'[2/20/2023 5:44, 97.0]' on route-C
 [x] Sent b'[2/20/2023 5:44, 115.0]' on route-A
 [x] Sent b'[2/20/2023 5:44, 88.0]' on route-B
 [x] Sent b'[2/20/2023 5:44, 88.0]' on route-C
 [x] Sent b'[2/20/2023 5:45, 126.0]' on route-A
 [x] Sent b'[2/20/2023 5:45, 101.0]' on route-B
 [x] Sent b'[2/20/2023 5:45, 114.0]' on route-C
 [x] Sent b'[2/20/2023 5:45, 87.0]' on route-A
 [x] Sent b'[2/20/2023 5:45, 120.0]' on route-B
 [x] Sent b'[2/20/2023 5:45, 107.0]' on route-C
 [x] Sent b'[2/20/2023 5:45, 128.0]' on route-A
 [x] Sent b'[2/20/2023 5:45, 91.0]' on route-B
 [x] Sent b'[2/20/2023 5:45, 113.0]' on route-C
 [x] Sent b'[2/20/2023 5:46, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:46, 100.0]' on route-B
 [x] Sent b'[2/20/2023 5:46, 115.0]' on route-C
 [x] Sent b'[2/20/2023 5:46, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:46, 129.0]' on route-B
 [x] Sent b'[2/20/2023 5:46, 116.0]' on route-C
 [x] Sent b'[2/20/2023 5:46, 106.0]' on route-A
 [x] Sent b'[2/20/2023 5:46, 97.0]' on route-B
 [x] Sent b'[2/20/2023 5:46, 128.0]' on route-C
 [x] Sent b'[2/20/2023 5:47, 104.0]' on route-A
 [x] Sent b'[2/20/2023 5:47, 101.0]' on route-B
 [x] Sent b'[2/20/2023 5:47, 118.0]' on route-C
 [x] Sent b'[2/20/2023 5:47, 124.0]' on route-A
 [x] Sent b'[2/20/2023 5:47, 127.0]' on route-B
 [x] Sent b'[2/20/2023 5:47, 91.0]' on route-C
 [x] Sent b'[2/20/2023 5:47, 95.0]' on route-A
 [x] Sent b'[2/20/2023 5:47, 97.0]' on route-B
 [x] Sent b'[2/20/2023 5:47, 89.0]' on route-C
 [x] Sent b'[2/20/2023 5:48, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:48, 102.0]' on route-B
 [x] Sent b'[2/20/2023 5:48, 96.0]' on route-C
 [x] Sent b'[2/20/2023 5:48, 118.0]' on route-A
 [x] Sent b'[2/20/2023 5:48, 127.0]' on route-B
 [x] Sent b'[2/20/2023 5:48, 107.0]' on route-C
 [x] Sent b'[2/20/2023 5:48, 96.0]' on route-A
 [x] Sent b'[2/20/2023 5:48, 125.0]' on route-B
 [x] Sent b'[2/20/2023 5:48, 101.0]' on route-C
 [x] Sent b'[2/20/2023 5:49, 115.0]' on route-A
 [x] Sent b'[2/20/2023 5:49, 116.0]' on route-B
 [x] Sent b'[2/20/2023 5:49, 91.0]' on route-C
 [x] Sent b'[2/20/2023 5:49, 129.0]' on route-A
 [x] Sent b'[2/20/2023 5:49, 99.0]' on route-B
 [x] Sent b'[2/20/2023 5:49, 91.0]' on route-C
 [x] Sent b'[2/20/2023 5:49, 123.0]' on route-A
 [x] Sent b'[2/20/2023 5:49, 106.0]' on route-B
 [x] Sent b'[2/20/2023 5:49, 117.0]' on route-C
 [x] Sent b'[2/20/2023 5:50, 105.0]' on route-A
 [x] Sent b'[2/20/2023 5:50, 125.0]' on route-B
 [x] Sent b'[2/20/2023 5:50, 129.0]' on route-C
 [x] Sent b'[2/20/2023 5:50, 117.0]' on route-A
 [x] Sent b'[2/20/2023 5:50, 121.0]' on route-B
 [x] Sent b'[2/20/2023 5:50, 107.0]' on route-C
 [x] Sent b'[2/20/2023 5:50, 87.0]' on route-A
 [x] Sent b'[2/20/2023 5:50, 105.0]' on route-B
 [x] Sent b'[2/20/2023 5:50, 86.0]' on route-C
 [x] Sent b'[2/20/2023 5:51, 111.0]' on route-A
 [x] Sent b'[2/20/2023 5:51, 94.0]' on route-B
 [x] Sent b'[2/20/2023 5:51, 99.0]' on route-C
 [x] Sent b'[2/20/2023 5:51, 96.0]' on route-A
 [x] Sent b'[2/20/2023 5:51, 114.0]' on route-B
 [x] Sent b'[2/20/2023 5:51, 126.0]' on route-C
 [x] Sent b'[2/20/2023 5:51, 108.0]' on route-A
 [x] Sent b'[2/20/2023 5:51, 99.0]' on route-B
 [x] Sent b'[2/20/2023 5:51, 123.0]' on route-C
 [x] Sent b'[2/20/2023 5:52, 127.0]' on route-A
 [x] Sent b'[2/20/2023 5:52, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:52, 120.0]' on route-C
 [x] Sent b'[2/20/2023 5:52, 95.0]' on route-A
 [x] Sent b'[2/20/2023 5:52, 111.0]' on route-B
 [x] Sent b'[2/20/2023 5:52, 129.0]' on route-C
 [x] Sent b'[2/20/2023 5:52, 86.0]' on route-A
 [x] Sent b'[2/20/2023 5:52, 99.0]' on route-B
 [x] Sent b'[2/20/2023 5:52, 112.0]' on route-C
 [x] Sent b'[2/20/2023 5:53, 91.0]' on route-A
 [x] Sent b'[2/20/2023 5:53, 107.0]' on route-B
 [x] Sent b'[2/20/2023 5:53, 124.0]' on route-C
 [x] Sent b'[2/20/2023 5:53, 102.0]' on route-A
 [x] Sent b'[2/20/2023 5:53, 86.0]' on route-B
 [x] Sent b'[2/20/2023 5:53, 124.0]' on route-C
 [x] Sent b'[2/20/2023 5:53, 105.0]' on route-A
 [x] Sent b'[2/20/2023 5:53, 93.0]' on route-B
 [x] Sent b'[2/20/2023 5:53, 99.0]' on route-C
 [x] Sent b'[2/20/2023 5:54, 99.0]' on route-A
 [x] Sent b'[2/20/2023 5:54, 99.0]' on route-B
 [x] Sent b'[2/20/2023 5:54, 120.0]' on route-C
 [x] Sent b'[2/20/2023 5:54, 112.0]' on route-A
 [x] Sent b'[2/20/2023 5:54, 87.0]' on route-B
 [x] Sent b'[2/20/2023 5:54, 127.0]' on route-C
 [x] Sent b'[2/20/2023 5:54, 97.0]' on route-A
 [x] Sent b'[2/20/2023 5:54, 123.0]' on route-B
 [x] Sent b'[2/20/2023 5:54, 101.0]' on route-C
 [x] Sent b'[2/20/2023 5:55, 122.0]' on route-A
 [x] Sent b'[2/20/2023 5:55, 98.0]' on route-B
 [x] Sent b'[2/20/2023 5:55, 111.0]' on route-C
 [x] Sent b'[2/20/2023 5:55, 115.0]' on route-A
 [x] Sent b'[2/20/2023 5:55, 126.0]' on route-B
 [x] Sent b'[2/20/2023 5:55, 122.0]' on route-C
 [x] Sent b'[2/20/2023 5:55, 114.0]' on route-A
 [x] Sent b'[2/20/2023 5:55, 107.0]' on route-B
 [x] Sent b'[2/20/2023 5:55, 92.0]' on route-C
 [x] Sent b'[2/20/2023 5:56, 115.0]' on route-A
 [x] Sent b'[2/20/2023 5:56, 113.0]' on route-B
 [x] Sent b'[2/20/2023 5:56, 107.0]' on route-C
 [x] Sent b'[2/20/2023 5:56, 101.0]' on route-A
 [x] Sent b'[2/20/2023 5:56, 126.0]' on route-B
 [x] Sent b'[2/20/2023 5:56, 103.0]' on route-C
 [x] Sent b'[2/20/2023 5:56, 111.0]' on route-A
 [x] Sent b'[2/20/2023 5:56, 86.0]' on route-B
 [x] Sent b'[2/20/2023 5:56, 114.0]' on route-C
 [x] Sent b'[2/20/2023 5:57, 90.0]' on route-A
 [x] Sent b'[2/20/2023 5:57, 100.0]' on route-B
 [x] Sent b'[2/20/2023 5:57, 114.0]' on route-C
 [x] Sent b'[2/20/2023 5:57, 85.0]' on route-A
 [x] Sent b'[2/20/2023 5:57, 122.0]' on route-B
 [x] Sent b'[2/20/2023 5:57, 102.0]' on route-C
 [x] Sent b'[2/20/2023 5:57, 111.0]' on route-A
 [x] Sent b'[2/20/2023 5:57, 95.0]' on route-B
 [x] Sent b'[2/20/2023 5:57, 116.0]' on route-C
 [x] Sent b'[2/20/2023 5:58, 92.0]' on route-A
 [x] Sent b'[2/20/2023 5:58, 126.0]' on route-B
 [x] Sent b'[2/20/2023 5:58, 102.0]' on route-C
 [x] Sent b'[2/20/2023 5:58, 126.0]' on route-A
 [x] Sent b'[2/20/2023 5:58, 105.0]' on route-B
 [x] Sent b'[2/20/2023 5:58, 129.0]' on route-C
 [x] Sent b'[2/20/2023 5:58, 95.0]' on route-A
 [x] Sent b'[2/20/2023 5:58, 95.0]' on route-B
 [x] Sent b'[2/20/2023 5:58, 103.0]' on route-C
 [x] Sent b'[2/20/2023 5:59, 96.0]' on route-A
 [x] Sent b'[2/20/2023 5:59, 121.0]' on route-B
 [x] Sent b'[2/20/2023 5:59, 91.0]' on route-C
 [x] Sent b'[2/20/2023 5:59, 127.0]' on route-A
 [x] Sent b'[2/20/2023 5:59, 108.0]' on route-B
 [x] Sent b'[2/20/2023 5:59, 123.0]' on route-C
 [x] Sent b'[2/20/2023 5:59, 85.0]' on route-A
 [x] Sent b'[2/20/2023 5:59, 97.0]' on route-B
 [x] Sent b'[2/20/2023 5:59, 110.0]' on route-C
 [x] Sent b'[2/20/2023 6:00, 93.0]' on route-A
 [x] Sent b'[2/20/2023 6:00, 111.0]' on route-B
 [x] Sent b'[2/20/2023 6:00, 119.0]' on route-C
 [x] Sent b'[2/20/2023 6:00, 122.0]' on route-A
 [x] Sent b'[2/20/2023 6:00, 87.0]' on route-B
 [x] Sent b'[2/20/2023 6:00, 110.0]' on route-C
 [x] Sent b'[2/20/2023 6:00, 128.0]' on route-A
 [x] Sent b'[2/20/2023 6:00, 99.0]' on route-B
 [x] Sent b'[2/20/2023 6:00, 85.0]' on route-C
 [x] Sent b'[2/20/2023 6:01, 118.0]' on route-A
 [x] Sent b'[2/20/2023 6:01, 99.0]' on route-B
 [x] Sent b'[2/20/2023 6:01, 107.0]' on route-C
 [x] Sent b'[2/20/2023 6:01, 85.0]' on route-A
 [x] Sent b'[2/20/2023 6:01, 103.0]' on route-B
 [x] Sent b'[2/20/2023 6:01, 107.0]' on route-C
 [x] Sent b'[2/20/2023 6:01, 103.0]' on route-A
 [x] Sent b'[2/20/2023 6:01, 104.0]' on route-B
 [x] Sent b'[2/20/2023 6:01, 96.0]' on route-C
 [x] Sent b'[2/20/2023 6:02, 85.0]' on route-A
 [x] Sent b'[2/20/2023 6:02, 113.0]' on route-B
 [x] Sent b'[2/20/2023 6:02, 92.0]' on route-C
 [x] Sent b'[2/20/2023 6:02, 114.0]' on route-A
 [x] Sent b'[2/20/2023 6:02, 102.0]' on route-B
 [x] Sent b'[2/20/2023 6:02, 128.0]' on route-C
 [x] Sent b'[2/20/2023 6:02, 85.0]' on route-A
 [x] Sent b'[2/20/2023 6:02, 97.0]' on route-B
 [x] Sent b'[2/20/2023 6:02, 127.0]' on route-C
 [x] Sent b'[2/20/2023 6:03, 130.0]' on route-A
 [x] Sent b'[2/20/2023 6:03, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:03, 126.0]' on route-C
 [x] Sent b'[2/20/2023 6:03, 109.0]' on route-A
 [x] Sent b'[2/20/2023 6:03, 120.0]' on route-B
 [x] Sent b'[2/20/2023 6:03, 104.0]' on route-C
 [x] Sent b'[2/20/2023 6:03, 120.0]' on route-A
 [x] Sent b'[2/20/2023 6:03, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:03, 126.0]' on route-C
 [x] Sent b'[2/20/2023 6:04, 102.0]' on route-A
 [x] Sent b'[2/20/2023 6:04, 105.0]' on route-B
 [x] Sent b'[2/20/2023 6:04, 124.0]' on route-C
 [x] Sent b'[2/20/2023 6:04, 129.0]' on route-A
 [x] Sent b'[2/20/2023 6:04, 124.0]' on route-B
 [x] Sent b'[2/20/2023 6:04, 115.0]' on route-C
 [x] Sent b'[2/20/2023 6:04, 98.0]' on route-A
 [x] Sent b'[2/20/2023 6:04, 90.0]' on route-B
 [x] Sent b'[2/20/2023 6:04, 127.0]' on route-C
 [x] Sent b'[2/20/2023 6:05, 91.0]' on route-A
 [x] Sent b'[2/20/2023 6:05, 101.0]' on route-B
 [x] Sent b'[2/20/2023 6:05, 113.0]' on route-C
 [x] Sent b'[2/20/2023 6:05, 97.0]' on route-A
 [x] Sent b'[2/20/2023 6:05, 99.0]' on route-B
 [x] Sent b'[2/20/2023 6:05, 94.0]' on route-C
 [x] Sent b'[2/20/2023 6:05, 103.0]' on route-A
 [x] Sent b'[2/20/2023 6:05, 124.0]' on route-B
 [x] Sent b'[2/20/2023 6:05, 115.0]' on route-C
 [x] Sent b'[2/20/2023 6:06, 87.0]' on route-A
 [x] Sent b'[2/20/2023 6:06, 117.0]' on route-B
 [x] Sent b'[2/20/2023 6:06, 121.0]' on route-C
 [x] Sent b'[2/20/2023 6:06, 129.0]' on route-A
 [x] Sent b'[2/20/2023 6:06, 100.0]' on route-B
 [x] Sent b'[2/20/2023 6:06, 118.0]' on route-C
 [x] Sent b'[2/20/2023 6:06, 104.0]' on route-A
 [x] Sent b'[2/20/2023 6:06, 97.0]' on route-B
 [x] Sent b'[2/20/2023 6:06, 123.0]' on route-C
 [x] Sent b'[2/20/2023 6:07, 100.0]' on route-A
 [x] Sent b'[2/20/2023 6:07, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:07, 87.0]' on route-C
 [x] Sent b'[2/20/2023 6:07, 92.0]' on route-A
 [x] Sent b'[2/20/2023 6:07, 108.0]' on route-B
 [x] Sent b'[2/20/2023 6:07, 112.0]' on route-C
 [x] Sent b'[2/20/2023 6:07, 121.0]' on route-A
 [x] Sent b'[2/20/2023 6:07, 117.0]' on route-B
 [x] Sent b'[2/20/2023 6:07, 109.0]' on route-C
 [x] Sent b'[2/20/2023 6:08, 100.0]' on route-A
 [x] Sent b'[2/20/2023 6:08, 122.0]' on route-B
 [x] Sent b'[2/20/2023 6:08, 91.0]' on route-C
 [x] Sent b'[2/20/2023 6:08, 106.0]' on route-A
 [x] Sent b'[2/20/2023 6:08, 113.0]' on route-B
 [x] Sent b'[2/20/2023 6:08, 128.0]' on route-C
 [x] Sent b'[2/20/2023 6:08, 86.0]' on route-A
 [x] Sent b'[2/20/2023 6:08, 130.0]' on route-B
 [x] Sent b'[2/20/2023 6:08, 103.0]' on route-C
 [x] Sent b'[2/20/2023 6:09, 107.0]' on route-A
 [x] Sent b'[2/20/2023 6:09, 104.0]' on route-B
 [x] Sent b'[2/20/2023 6:09, 110.0]' on route-C
 [x] Sent b'[2/20/2023 6:09, 123.0]' on route-A
 [x] Sent b'[2/20/2023 6:09, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:09, 104.0]' on route-C
 [x] Sent b'[2/20/2023 6:09, 95.0]' on route-A
 [x] Sent b'[2/20/2023 6:09, 91.0]' on route-B
 [x] Sent b'[2/20/2023 6:09, 129.0]' on route-C
 [x] Sent b'[2/20/2023 6:10, 120.0]' on route-A
 [x] Sent b'[2/20/2023 6:10, 102.0]' on route-B
 [x] Sent b'[2/20/2023 6:10, 100.0]' on route-C
 [x] Sent b'[2/20/2023 6:10, 116.0]' on route-A
 [x] Sent b'[2/20/2023 6:10, 109.0]' on route-B
 [x] Sent b'[2/20/2023 6:10, 128.0]' on route-C
 [x] Sent b'[2/20/2023 6:10, 121.0]' on route-A
 [x] Sent b'[2/20/2023 6:10, 93.0]' on route-B
 [x] Sent b'[2/20/2023 6:10, 104.0]' on route-C
 [x] Sent b'[2/20/2023 6:11, 95.0]' on route-A
 [x] Sent b'[2/20/2023 6:11, 90.0]' on route-B
 [x] Sent b'[2/20/2023 6:11, 89.0]' on route-C
 [x] Sent b'[2/20/2023 6:11, 125.0]' on route-A
 [x] Sent b'[2/20/2023 6:11, 92.0]' on route-B
 [x] Sent b'[2/20/2023 6:11, 123.0]' on route-C
 [x] Sent b'[2/20/2023 6:11, 127.0]' on route-A
 [x] Sent b'[2/20/2023 6:11, 121.0]' on route-B
 [x] Sent b'[2/20/2023 6:11, 107.0]' on route-C
 [x] Sent b'[2/20/2023 6:12, 116.0]' on route-A
 [x] Sent b'[2/20/2023 6:12, 96.0]' on route-B
 [x] Sent b'[2/20/2023 6:12, 107.0]' on route-C
 [x] Sent b'[2/20/2023 6:12, 86.0]' on route-A
 [x] Sent b'[2/20/2023 6:12, 120.0]' on route-B
 [x] Sent b'[2/20/2023 6:12, 94.0]' on route-C
 [x] Sent b'[2/20/2023 6:12, 100.0]' on route-A
 [x] Sent b'[2/20/2023 6:12, 115.0]' on route-B
 [x] Sent b'[2/20/2023 6:12, 112.0]' on route-C
 [x] Sent b'[2/20/2023 6:13, 120.0]' on route-A
 [x] Sent b'[2/20/2023 6:13, 114.0]' on route-B
 [x] Sent b'[2/20/2023 6:13, 117.0]' on route-C
 [x] Sent b'[2/20/2023 6:13, 114.0]' on route-A
 [x] Sent b'[2/20/2023 6:13, 121.0]' on route-B
 [x] Sent b'[2/20/2023 6:13, 126.0]' on route-C
 [x] Sent b'[2/20/2023 6:13, 89.0]' on route-A
 [x] Sent b'[2/20/2023 6:13, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:13, 129.0]' on route-C
 [x] Sent b'[2/20/2023 6:14, 113.0]' on route-A
 [x] Sent b'[2/20/2023 6:14, 120.0]' on route-B
 [x] Sent b'[2/20/2023 6:14, 106.0]' on route-C
 [x] Sent b'[2/20/2023 6:14, 89.0]' on route-A
 [x] Sent b'[2/20/2023 6:14, 117.0]' on route-B
 [x] Sent b'[2/20/2023 6:14, 93.0]' on route-C
 [x] Sent b'[2/20/2023 6:14, 87.0]' on route-A
 [x] Sent b'[2/20/2023 6:14, 116.0]' on route-B
 [x] Sent b'[2/20/2023 6:14, 90.0]' on route-C
 [x] Sent b'[2/20/2023 6:15, 123.0]' on route-A
 [x] Sent b'[2/20/2023 6:15, 95.0]' on route-B
 [x] Sent b'[2/20/2023 6:15, 87.0]' on route-C
 [x] Sent b'[2/20/2023 6:15, 116.0]' on route-A
 [x] Sent b'[2/20/2023 6:15, 130.0]' on route-B
 [x] Sent b'[2/20/2023 6:15, 115.0]' on route-C
 [x] Sent b'[2/20/2023 6:15, 93.0]' on route-A
 [x] Sent b'[2/20/2023 6:15, 120.0]' on route-B
 [x] Sent b'[2/20/2023 6:15, 100.0]' on route-C
 [x] Sent b'[2/20/2023 6:16, 121.0]' on route-A
 [x] Sent b'[2/20/2023 6:16, 123.0]' on route-B
 [x] Sent b'[2/20/2023 6:16, 100.0]' on route-C
 [x] Sent b'[2/20/2023 6:16, 87.0]' on route-A
 [x] Sent b'[2/20/2023 6:16, 116.0]' on route-B
 [x] Sent b'[2/20/2023 6:16, 108.0]' on route-C
 [x] Sent b'[2/20/2023 6:16, 117.0]' on route-A
 [x] Sent b'[2/20/2023 6:16, 119.0]' on route-B
 [x] Sent b'[2/20/2023 6:16, 116.0]' on route-C
 [x] Sent b'[2/20/2023 6:17, 124.0]' on route-A
 [x] Sent b'[2/20/2023 6:17, 94.0]' on route-B
 [x] Sent b'[2/20/2023 6:17, 111.0]' on route-C
 [x] Sent b'[2/20/2023 6:17, 119.0]' on route-A
 [x] Sent b'[2/20/2023 6:17, 120.0]' on route-B
 [x] Sent b'[2/20/2023 6:17, 95.0]' on route-C
 [x] Sent b'[2/20/2023 6:17, 118.0]' on route-A
 [x] Sent b'[2/20/2023 6:17, 128.0]' on route-B
 [x] Sent b'[2/20/2023 6:17, 86.0]' on route-C
 [x] Sent b'[2/20/2023 6:18, 108.0]' on route-A
 [x] Sent b'[2/20/2023 6:18, 86.0]' on route-B
 [x] Sent b'[2/20/2023 6:18, 100.0]' on route-C
 [x] Sent b'[2/20/2023 6:18, 86.0]' on route-A
 [x] Sent b'[2/20/2023 6:18, 117.0]' on route-B
 [x] Sent b'[2/20/2023 6:18, 104.0]' on route-C
 [x] Sent b'[2/20/2023 6:18, 91.0]' on route-A
 [x] Sent b'[2/20/2023 6:18, 112.0]' on route-B
 [x] Sent b'[2/20/2023 6:18, 88.0]' on route-C
 [x] Sent b'[2/20/2023 6:19, 100.0]' on route-A
 [x] Sent b'[2/20/2023 6:19, 93.0]' on route-B
 [x] Sent b'[2/20/2023 6:19, 128.0]' on route-C
 [x] Sent b'[2/20/2023 6:19, 113.0]' on route-A
 [x] Sent b'[2/20/2023 6:19, 103.0]' on route-B
 [x] Sent b'[2/20/2023 6:19, 85.0]' on route-C
 [x] Sent b'[2/20/2023 6:19, 88.0]' on route-A
 [x] Sent b'[2/20/2023 6:19, 106.0]' on route-B
 [x] Sent b'[2/20/2023 6:19, 125.0]' on route-C
 [x] Sent b'[2/20/2023 6:20, 115.0]' on route-A
 [x] Sent b'[2/20/2023 6:20, 106.0]' on route-B
 [x] Sent b'[2/20/2023 6:20, 87.0]' on route-C
 [x] Sent b'[2/20/2023 6:20, 105.0]' on route-B
 [x] Sent b'[2/20/2023 6:20, 101.0]' on route-C
 [x] Sent b'[2/20/2023 6:20, 124.0]' on route-A
 [x] Sent b'[2/20/2023 6:20, 91.0]' on route-B
 [x] Sent b'[2/20/2023 6:20, 95.0]' on route-C
 [x] Sent b'[2/20/2023 6:21, 116.0]' on route-A
 [x] Sent b'[2/20/2023 6:21, 115.0]' on route-B
 [x] Sent b'[2/20/2023 6:21, 107.0]' on route-C
 [x] Sent b'[2/20/2023 6:21, 117.0]' on route-A
 [x] Sent b'[2/20/2023 6:21, 90.0]' on route-B
 [x] Sent b'[2/20/2023 6:21, 120.0]' on route-C
 [x] Sent b'[2/20/2023 6:21, 100.0]' on route-A
 [x] Sent b'[2/20/2023 6:21, 127.0]' on route-B
 [x] Sent b'[2/20/2023 6:21, 94.0]' on route-C
 [x] Sent b'[2/20/2023 6:22, 115.0]' on route-A
 [x] Sent b'[2/20/2023 6:22, 96.0]' on route-B
 [x] Sent b'[2/20/2023 6:22, 99.0]' on route-C
 [x] Sent b'[2/20/2023 6:22, 130.0]' on route-A
 [x] Sent b'[2/20/2023 6:22, 118.0]' on route-B
 [x] Sent b'[2/20/2023 6:22, 105.0]' on route-C
 [x] Sent b'[2/20/2023 6:22, 117.0]' on route-A
 [x] Sent b'[2/20/2023 6:22, 86.0]' on route-B
 [x] Sent b'[2/20/2023 6:23, 102.0]' on route-A
 [x] Sent b'[2/20/2023 6:23, 129.0]' on route-B
 [x] Sent b'[2/20/2023 6:23, 87.0]' on route-C
 [x] Sent b'[2/20/2023 6:23, 90.0]' on route-A
 [x] Sent b'[2/20/2023 6:23, 99.0]' on route-B
 [x] Sent b'[2/20/2023 6:23, 121.0]' on route-C
 [x] Sent b'[2/20/2023 6:23, 95.0]' on route-A
 [x] Sent b'[2/20/2023 6:23, 129.0]' on route-B
 [x] Sent b'[2/20/2023 6:23, 120.0]' on route-C
 [x] Sent b'[2/20/2023 6:24, 99.0]' on route-A
 [x] Sent b'[2/20/2023 6:24, 103.0]' on route-C
 [x] Sent b'[2/20/2023 6:24, 104.0]' on route-B
 [x] Sent b'[2/20/2023 6:24, 109.0]' on route-C
 [x] Sent b'[2/20/2023 6:24, 126.0]' on route-A
 [x] Sent b'[2/20/2023 6:24, 89.0]' on route-B
